Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:25:43:691,3.7746,1.0181,9.6583,53.896,0.3108,0.5959,-0.3681,184.7344
19:25:43:710,2.9067,1.2923,7.8495,53.8597,0.3246,0.3746,-0.5364,184.8594
19:25:43:726,2.1729,1.2073,6.6309,53.3611,0.2189,0.1701,-0.6555,185.1562
19:25:43:745,1.688,1.3114,6.2885,52.6917,0.0378,0.0154,-0.6909,185.7031
19:25:43:766,1.5899,1.3438,6.2598,54.2454,-0.1095,0.0292,-0.7189,186.375
19:25:43:788,1.2702,1.57,6.2011,53.7218,-0.2698,0.2119,-0.7572,187.1719
19:25:43:807,0.54,2.0333,6.1963,52.0263,-0.3941,0.3368,-0.729,187.9844
19:25:43:824,0.941,1.8789,5.7055,51.833,-0.4554,0.2747,-0.6781,188.7969
19:25:43:845,0.0875,2.1015,5.4984,53.6667,-0.5377,0.1267,-0.6536,189.5312
19:25:43:865,0.1629,2.6211,6.261,50.5109,-0.6948,0.1325,-0.5724,190.2344
19:25:43:888,0.4323,2.5157,6.5566,50.5109,-0.8168,0.4422,-0.5322,190.9375
19:25:43:910,0.7435,2.4834,6.7757,52.8226,-0.8924,0.5834,-0.4837,191.5156
19:25:43:926,0.2898,2.973,7.889,50.3899,-0.9276,0.4111,-0.4667,192
19:25:43:949,0.1797,3.058,10.1839,50.6902,-0.4735,0.2787,-0.6102,192.4219
19:25:43:964,-0.1364,2.7683,10.0893,52.2547,-0.2304,0.0135,-0.7476,192.8281
19:25:43:985,-1.3107,2.5037,9.8511,50.6726,-0.1127,0.1671,-0.794,193.3125
19:25:44:006,-2.0098,2.4738,8.9401,50.784,-0.1377,0.2755,-0.6307,193.9531
19:25:44:025,-2.5641,1.8609,12.3458,50.7706,-0.3278,-0.6694,-0.2331,194.7812
19:25:44:044,-2.0469,0.9571,15.0561,50.8775,0.1739,-0.864,0.1398,195.625
19:25:44:064,-1.3969,1.5078,13.8793,50.4085,0.9169,-0.8483,0.3147,196.2969
19:25:44:088,-1.2102,1.7723,10.8135,50.4106,1.2576,-0.9663,0.3922,196.625
19:25:44:104,-1.3694,1.8824,8.5462,50.6846,1.0219,-1.0385,0.5027,196.4844
19:25:44:124,-1.3766,1.5676,8.0291,49.0275,0.3145,-0.6406,0.6356,196.25
19:25:44:144,-1.0282,1.0696,8.8814,49.9896,-0.53,0.0958,0.7528,195.9375
19:25:44:165,-0.3997,0.9727,9.4608,50.5106,-1.2184,0.7472,0.8596,195.4688
19:25:44:189,-0.1028,0.7835,12.1507,49.3535,-1.4871,0.4194,0.9661,194.7188
19:25:44:208,0.8261,0.1562,13.8889,48.0434,-1.1111,-0.1263,1.1081,193.7031
19:25:44:224,1.4845,-0.732,12.6535,50.2419,-0.5009,-0.7881,1.0852,192.5781
19:25:44:245,0.9279,-1.6239,10.476,50.6789,-0.1393,-1.2928,0.9938,191.9688
19:25:44:266,-0.7744,-3.1669,10.6567,49.4416,-0.8291,0.5988,1.2061,190.6875
19:25:44:290,-0.4009,0.6051,7.4545,48.7245,-1.7803,0.2167,1.3078,189.5156
19:25:44:307,0.0109,0.2065,11.5114,48.9953,-1.3167,-0.6102,1.0388,188.5469
19:25:44:330,0.1078,0.3394,9.9373,49.3044,-0.6245,-0.933,0.9462,187.1094
19:25:44:344,-0.4189,-0.1682,8.8192,48.9119,-0.1028,-0.8078,1.0047,185.5938
19:25:44:365,0.9829,-0.8829,8.3212,47.878,0.0746,0.2153,1.2652,184.4375
19:25:44:385,3.3352,-0.6255,7.4964,47.2653,-0.0117,0.9182,1.343,183.4531
19:25:44:405,3.674,-1.2145,7.9465,48.5,-0.082,0.4707,1.0207,182.3438
19:25:44:424,3.534,-1.0433,8.9999,48.0678,-0.2599,-0.7173,0.609,180.8906
19:25:44:444,1.1733,0.3394,9.1603,49.137,-0.3396,-2.446,0.347,179.3906
19:25:44:464,1.8915,0.4352,7.9489,47.2015,-0.3787,-2.794,0.422,178.2031
19:25:44:484,4.1337,0.3166,7.5347,48.7849,-0.3228,-2.4673,0.3587,177.5469
19:25:44:504,4.2666,0.3849,7.9381,48.211,-0.1656,-0.9642,0.2393,177.0938
19:25:44:525,4.2857,0.7069,8.9664,45.9976,0.1212,1.3,0.1589,176.7344
19:25:44:545,3.5399,1.0289,10.6292,47.4787,0.621,3.4143,0.1107,176.4844
19:25:44:565,2.617,0.7356,8.7581,46.849,0.9241,5.1252,0.2383,176.2656
19:25:44:590,3.2634,0.234,8.654,47.4571,0.657,4.253,0.3707,176.0312
19:25:44:608,1.7479,0.0233,10.9153,45.8373,0.4533,0.5371,-0.0552,175.6562
19:25:44:626,1.3756,0.5573,12.1686,45.3937,0.3832,1.1126,-0.5338,175.0312
19:25:44:646,0.4251,0.2951,12.3183,47.0951,0.4693,0.671,-0.7497,174.6875
19:25:44:665,-0.365,0.3442,13.1754,46.6442,0.7689,0.1906,-0.95,175.0938
19:25:44:689,-1.0198,0.4388,13.6519,46.0493,1.0501,0.3994,-0.828,175.7656
19:25:44:706,-1.1348,0.8841,12.5793,46.9507,1.3217,0.3757,-0.6211,176.75
19:25:44:724,-1.355,1.5736,11.5114,45.885,1.4006,-0.0243,-0.5013,177.8438
19:25:44:745,-1.2161,1.9303,10.3945,45.4014,1.1966,-0.2877,-0.3165,178.7188
19:25:44:764,-0.0274,2.147,9.6787,46.2126,0.8432,-0.6252,-0.1306,179.4219
19:25:44:793,1.3181,2.2583,9.6978,45.3419,0.445,-0.7437,-0.1857,180.0312
19:25:44:807,1.5444,2.159,10.0378,45.3952,0.0836,-0.6124,-0.4283,180.4062
19:25:44:824,1.1589,1.6119,10.3598,45.8272,-0.1518,-0.5386,-0.6709,180.6875
19:25:44:843,0.6861,1.2193,10.6615,44.9813,-0.1782,-0.5708,-0.6941,181.125
19:25:44:864,0.7196,1.0948,10.4197,45.0744,-0.0605,-0.5988,-0.5402,181.8438
19:25:44:885,0.9458,1.3366,10.0785,45.843,0.0594,-0.5335,-0.3593,182.7188
19:25:44:908,0.9422,1.3545,9.6464,45.0655,0.0985,-0.1703,-0.2925,184.0625
19:25:44:927,0.8285,1.0469,9.3519,43.1546,0.0706,0.2497,-0.2089,184.4844
19:25:44:944,0.8273,0.8505,9.4177,45.3255,0.0498,0.4444,-0.1678,184.7656
19:25:44:964,0.7854,1.0157,9.14,45.2814,0.0578,0.3898,-0.2507,184.8438
19:25:44:984,0.783,1.1893,8.2589,45.285,0.0474,0.0982,-0.4123,184.9844
19:25:45:005,0.3604,1.1546,7.3515,45.4793,-0.041,-0.2704,-0.55,185.2188
19:25:45:024,-0.0334,1.4659,7.6687,45.4793,-0.1638,-0.3695,-0.5159,185.6562
19:25:45:047,-0.2058,1.4383,8.211,46.1266,-0.1308,-0.1809,-0.39,186.3125
19:25:45:063,0.2024,1.1905,7.8124,44.5194,0.078,-0.2299,-0.3015,186.9375
19:25:45:085,0.4418,1.4084,7.8711,46.3563,0.2551,-0.3634,-0.1857,187.4062
19:25:45:118,0.8644,1.5209,7.7154,44.1783,0.3593,-0.3285,-0.1601,187.7656
19:25:45:123,0.9279,1.8022,7.5921,44.6589,0.4517,-0.4009,-0.182,188.0469
19:25:45:144,0.8441,2.062,7.4401,47.3376,0.4293,-0.4475,-0.1822,188.2812
19:25:45:163,1.1601,2.074,7.5933,44.57,0.2448,-0.3751,-0.1378,188.5469
19:25:45:184,1.4857,1.9256,8.2733,44.5933,0.0522,-0.3615,-0.1628,188.8438
19:25:45:204,1.1122,1.7208,9.365,46.2271,-0.1001,-0.3082,-0.2525,189.0625
19:25:45:226,0.6023,1.5341,10.5143,46.052,-0.1808,-0.0912,-0.2888,189.2969
19:25:45:245,0.3269,1.4156,11.2265,46.3955,-0.102,0.0723,-0.28,189.625
19:25:45:265,0.0815,1.4587,11.284,47.3014,0.0394,0.234,-0.2672,189.9688
